Kereskedő,Scooter vagy ATW,Kategória,Márka,Modell,Motor méret (cm3),ár/nap (EUR),váltó típusa,elérhetőség,leírás,kép URL,város,ajánlatkérő link
Moto Zagos,ATV,,CForce 625 Touring,,625 cc,,Automatic,,,https://www.motozagos.gr/menu/92/92.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Mike's Rental,Scooter,,Peugeot Tweet 50,,50 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2025/05/peugeot-tweet-50.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Keeway Agora,,50 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2020/03/keeway-agora.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Gilera Runner SP,,50 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2020/03/gilera-runner-50cc.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Cubs 50,,50 cc,,Semi-Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2023/05/easy-cub.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Keeway Fact X 125,,125 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2025/05/keeway-fact-x-125.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Aerox 125,,125 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2023/05/zongshen-zs125t-48.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,E Space 125,,125 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2025/05/e-space-125.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Keeway Outlook,,200 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2020/03/keeway-outlook-200.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Scarabeo 250,,250 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2023/05/jincheng-jc200t-b.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Morbidelli SC 300,,300 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2025/05/morbidelli-sc-300.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Grampus 300,,300 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2023/05/qm250t-efi.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,ATV,,Linhai ATV 200,,200 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2020/03/linhai-atv-300cc.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/atv/
Mike's Rental,ATV,,Linhai ATV 500,,500 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2020/03/linhai-atv-500cc.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/atv/
